category,trait,trait_value,trait_val_clean,spp_gp,sheet,cat_vals
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiocomella pumila,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiocomella pumila,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix annulosa,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix annulosa,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix annulosa,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix annulosa,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix annulosa,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix annulosa,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix annulosa,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix caryophyllata,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix caryophyllata,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix caryophyllata,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix caryophyllata,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix caryophyllata,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix caryophyllata,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix caryophyllata,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix elegans,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix elegans,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix elegans,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix elegans,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix elegans,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix elegans,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix elegans,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix endeani,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix endeani,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix endeani,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix endeani,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix endeani,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix endeani,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix endeani,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix janualis,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix janualis,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix janualis,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix janualis,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix janualis,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix janualis,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix janualis,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix macroplaca,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix macroplaca,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix macroplaca,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix macroplaca,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix macroplaca,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix macroplaca,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix macroplaca,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix marshallensis,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix marshallensis,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix marshallensis,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix marshallensis,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix marshallensis,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix marshallensis,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix marshallensis,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix mixta,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix mixta,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix mixta,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix mixta,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix mixta,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix mixta,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix mixta,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix occidentalis,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix occidentalis,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix occidentalis,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix occidentalis,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix occidentalis,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix occidentalis,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix occidentalis,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Opiomastix pictum,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Opiomastix pictum,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Opiomastix pictum,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Opiomastix pictum,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Opiomastix pictum,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Opiomastix pictum,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Opiomastix pictum,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix venosa,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix venosa,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix venosa,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix venosa,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix venosa,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix venosa,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix venosa,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiomastix wendtii,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiomastix wendtii,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiomastix wendtii,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiomastix wendtii,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiomastix wendtii,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiomastix wendtii,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiomastix wendtii,echinoderms,NA
r (reproductive traits),fecundity,>500,>500,Gorgonocephalus eucnemis,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,>20,>20,Gorgonocephalus eucnemis,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Gorgonocephalus eucnemis,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Gorgonocephalus eucnemis,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Gorgonocephalus eucnemis,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Gorgonocephalus eucnemis,echinoderms,NA
specialisation,within-stage dependent habitats + condition,Rocky Reef (Deeper than ~10m),rockyreefdeeperthan10m,Gorgonocephalus eucnemis,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Gorgonocephalus eucnemis,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Gorgonocephalus eucnemis,echinoderms,NA
movement,planktonic larval duration (pld),no larvae,nolarvae,Amphipholis squamata,echinoderms,NA
r (reproductive traits),reproductive strategy,Simultaneous hermaphrodites,simultaneoushermaphrodites,Amphipholis squamata,echinoderms,NA
r (reproductive traits),fecundity,>1000,>1000,Amphipholis squamata,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Amphipholis squamata,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Amphipholis squamata,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Amphipholis squamata,echinoderms,NA
r (reproductive traits),parental investment,yes- live birth,yeslivebirth,Amphipholis squamata,echinoderms,NA
r (reproductive traits),post-birth/hatching maternal dependence,yes- live birth,yeslivebirth,Amphipholis squamata,echinoderms,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),No larvae,nolarvae,Amphipholis squamata,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Amphipholis squamata,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Amphipholis squamata,echinoderms,NA
biophysical traits,adult body mass/body size,0.5-49 mm (3-5mm central disc),0549mm35mmcentraldisc,Amphipholis squamata,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Amphipholis squamata,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Amphipholis squamata,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiopholis aculeata,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiopholis aculeata,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiopholis aculeata,echinoderms,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),Feeding larvae,feedinglarvae,Ophiopholis aculeata,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiopholis aculeata,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiopholis aculeata,echinoderms,NA
biophysical traits,adult body mass/body size,0.5-49mm (~0.8 cm diameter disc),0549mm08cmdiameterdisc,Ophiopholis aculeata,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiopholis aculeata,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiopholis aculeata,echinoderms,NA
movement,planktonic larval duration (pld),unknown,unknown,Ophiura sarsi,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Ophiura sarsi,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Ophiura sarsi,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Ophiura sarsi,echinoderms,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),Feeding larvae,feedinglarvae,Ophiura sarsi,echinoderms,NA
r (reproductive traits),global population size,>100K,>100k,Ophiura sarsi,echinoderms,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,Ophiura sarsi,echinoderms,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Ophiura sarsi,echinoderms,NA
biophysical traits,respiration structures,Diffusion / filter feeders,diffusionfilterfeeders,Ophiura sarsi,echinoderms,NA
movement,planktonic larval duration (pld),unknown,unknown,Amphiodia occidentalis,echinoderms,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Amphiodia occidentalis,echinoderms,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Amphiodia occidentalis,echinoderms,NA
r (reproductive traits),max age,unknown,unknown,Amphiodia occidentalis,echinoderms,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),Feeding larvae,feedinglarvae,Amphiodia occidentalis,echinoderms,NA
